qualify_id,race_id,driver_id,constructor_id,number,position,qual_round,qual_time
1,18,1,1,22,1,1,86.572
2,18,1,1,22,1,2,85.187
3,18,1,1,22,1,3,86.714
4,18,9,2,4,2,1,86.10300000000001
5,18,9,2,4,2,2,85.315
6,18,9,2,4,2,3,86.869
7,18,5,1,23,3,1,85.664
8,18,5,1,23,3,2,85.452
9,18,5,1,23,3,3,87.07900000000001
10,18,13,6,2,4,1,85.994
11,18,13,6,2,4,2,85.691
12,18,13,6,2,4,3,87.178
13,18,2,2,3,5,1,85.96000000000001
14,18,2,2,3,5,2,85.518
15,18,2,2,3,5,3,87.236
16,18,15,7,11,6,1,86.42699999999999
17,18,15,7,11,6,2,86.101
18,18,15,7,11,6,3,88.527
19,18,3,3,7,7,1,86.295
20,18,3,3,7,7,2,86.059
21,18,3,3,7,7,3,88.687
22,18,14,9,9,8,1,86.381
23,18,14,9,9,8,2,86.063
24,18,14,9,9,8,3,89.041
25,18,10,7,12,9,1,86.919
26,18,10,7,12,9,2,86.164
27,18,10,7,12,9,3,89.593
28,18,20,5,15,10,1,86.702
29,18,20,5,15,10,2,85.842
30,18,22,11,17,11,1,86.369
31,18,22,11,17,11,2,86.173
32,18,4,4,5,12,1,86.907
33,18,4,4,5,12,2,86.188
34,18,18,11,16,13,1,86.712
35,18,18,11,16,13,2,86.259
36,18,6,3,8,14,1,86.891
37,18,6,3,8,14,2,86.413
38,18,17,9,10,15,1,86.914
39,18,8,6,1,16,1,86.14
40,18,21,10,21,17,1,87.207
41,18,7,5,14,18,1,87.446
42,18,16,10,20,19,1,87.85900000000001
43,18,11,8,18,20,1,88.208
44,18,12,4,6,21,1,88.33
45,18,19,8,19,22,1,89.059
46,19,13,6,2,1,1,95.34700000000001
47,19,13,6,2,1,2,94.412
48,19,13,6,2,1,3,95.74799999999999
49,19,8,6,1,2,1,95.64500000000001
50,19,8,6,1,2,2,94.188
51,19,8,6,1,2,3,96.22999999999999
52,19,5,1,23,3,1,95.227
53,19,5,1,23,3,2,94.759
54,19,5,1,23,3,3,96.613
55,19,1,1,22,4,1,95.392
56,19,1,1,22,4,2,94.62700000000001
57,19,1,1,22,4,3,96.709
58,19,15,7,11,5,1,95.205
59,19,15,7,11,5,2,94.96000000000001
60,19,15,7,11,5,3,96.711
61,19,9,2,4,6,1,95.794
62,19,9,2,4,6,2,94.811
63,19,9,2,4,6,3,96.727
64,19,2,2,3,7,1,95.729
65,19,2,2,3,7,2,94.648
66,19,2,2,3,7,3,96.753
67,19,17,9,10,8,1,95.44
68,19,17,9,10,8,2,94.967
69,19,17,9,10,8,3,97.009
70,19,4,4,5,9,1,95.983
71,19,4,4,5,9,2,95.14
72,19,4,4,5,9,3,98.45
73,19,10,7,12,10,1,95.89099999999999
74,19,10,7,12,10,2,95
75,19,10,7,12,10,3,99.656
76,19,18,11,16,11,1,95.84700000000001
77,19,18,11,16,11,2,95.208
78,19,14,9,9,12,1,96.05799999999999
