year,round,race_name,driver_name,driver_id,race_id,stint,stint_comp,stint_length,stint_id
2014,1,Australian Grand Prix,Nico Rosberg,3,900,1,Soft,12,1
2014,1,Australian Grand Prix,Nico Rosberg,3,900,2,Soft,26,2
2014,1,Australian Grand Prix,Nico Rosberg,3,900,3,Medium,19,3
2014,1,Australian Grand Prix,Kevin Magnussen,825,900,1,Soft,12,4
2014,1,Australian Grand Prix,Kevin Magnussen,825,900,2,Soft,25,5
2014,1,Australian Grand Prix,Kevin Magnussen,825,900,3,Medium,20,6
2014,1,Australian Grand Prix,Jenson Button,18,900,1,Soft,11,7
2014,1,Australian Grand Prix,Jenson Button,18,900,2,Soft,21,8
2014,1,Australian Grand Prix,Jenson Button,18,900,3,Medium,25,9
2014,1,Australian Grand Prix,Fernando Alonso,4,900,1,Soft,12,10
2014,1,Australian Grand Prix,Fernando Alonso,4,900,2,Soft,23,11
2014,1,Australian Grand Prix,Fernando Alonso,4,900,3,Medium,22,12
2014,1,Australian Grand Prix,Valtteri Bottas,822,900,1,Soft,10,13
2014,1,Australian Grand Prix,Valtteri Bottas,822,900,2,Soft,26,14
2014,1,Australian Grand Prix,Valtteri Bottas,822,900,3,Medium,21,15
2014,1,Australian Grand Prix,Nico Hulkenberg,807,900,1,Soft,12,16
2014,1,Australian Grand Prix,Nico Hulkenberg,807,900,2,Soft,21,17
2014,1,Australian Grand Prix,Nico Hulkenberg,807,900,3,Medium,24,18
2014,1,Australian Grand Prix,Kimi Raikkonen,8,900,1,Soft,12,19
2014,1,Australian Grand Prix,Kimi Raikkonen,8,900,2,Soft,24,20
2014,1,Australian Grand Prix,Kimi Raikkonen,8,900,3,Medium,21,21
2014,1,Australian Grand Prix,Jean-Eric Vergne,818,900,1,Soft,12,22
2014,1,Australian Grand Prix,Jean-Eric Vergne,818,900,2,Soft,21,23
2014,1,Australian Grand Prix,Jean-Eric Vergne,818,900,3,Medium,24,24
2014,1,Australian Grand Prix,Daniil Kvyat,826,900,1,Soft,12,25
2014,1,Australian Grand Prix,Daniil Kvyat,826,900,2,Medium,24,26
2014,1,Australian Grand Prix,Daniil Kvyat,826,900,3,Soft,21,27
2014,1,Australian Grand Prix,Sergio Perez,815,900,1,Soft,1,28
2014,1,Australian Grand Prix,Sergio Perez,815,900,2,Medium,10,29
2014,1,Australian Grand Prix,Sergio Perez,815,900,3,Soft,21,30
2014,1,Australian Grand Prix,Sergio Perez,815,900,4,Soft,25,31
2014,1,Australian Grand Prix,Adrian Sutil,16,900,1,Soft,35,32
2014,1,Australian Grand Prix,Adrian Sutil,16,900,2,Medium,21,33
2014,1,Australian Grand Prix,Esteban Gutierrez,821,900,1,Medium,1,34
2014,1,Australian Grand Prix,Esteban Gutierrez,821,900,2,Soft,29,35
2014,1,Australian Grand Prix,Esteban Gutierrez,821,900,3,Soft,26,36
2014,1,Australian Grand Prix,Max Chilton,820,900,1,Soft,24,37
2014,1,Australian Grand Prix,Max Chilton,820,900,2,Soft,17,38
2014,1,Australian Grand Prix,Max Chilton,820,900,3,Medium,14,39
2014,1,Australian Grand Prix,Jules Bianchi,824,900,1,Soft,20,40
